bin,count,pred_mean,actual_mean,pred_min,pred_max
0,76,-0.3560950369533283,0.3837763107143032,-0.5937672692040602,-0.3123839534819126
1,75,-0.26916207504976125,1.08618081682084,-0.31132302805781364,-0.0925472682962815
2,59,-0.043508870648167566,0.13925342987865938,-0.08286016869048278,-0.02307868500550588
3,92,0.05072524319436618,0.1387811133907757,-0.022597046568989754,0.23627778825660548
4,75,2.0319245003764,3.1340762627601397,0.30048051476478577,4.218863050142924
5,76,6.5288286091465695,5.763280137680144,4.297509014606476,8.730698307355246
6,75,10.357567445437112,10.164413849716997,8.750239451726278,12.186302661895752
7,76,14.099951611276257,12.178600868104766,12.21483556429545,15.631501118342081
8,75,17.150388875007625,15.528935109482008,15.645226001739502,19.008036692937214
9,76,21.349949963260116,18.591530281991844,19.02310578028361,25.602329174677532
